[ constructed by hand, with some help from mk64.icn ]
ABCD EFGH IJKL MNOP abcd efgh ikjl mnop QRST UVWX YZ56 789% qrst uvwx yz01 234$
AEIM BFKP CGLN DHJO aeim bfkp cgln dhjo QUY7 RV5% SW68 TXZ9 quy2 rvz$ sw13 tx04
AFJN BELO CHKM DGIP afjn belo chkm dgip QVZ8 RU69 SX57 TWY% qv03 ru14 sxz2 twy$
AGKO BHIN CEJP DFLM agko bhin cejp dflm QW59 RXY8 SUZ% TV67 qwz4 rxy3 su0$ tv12
AHLP BGJM CFIO DEKN ahlp bgjm cfio dekn QX6% RWZ7 SVY9 TU58 qx1$ rw02 svy4 tuz3
AaQq BbSt CcTr DdRs EeY2 Ff5$ Gg63 HhZ4 Ii7u Jk9x Kj%v Ll8w MmUy NnW1 OoXz PpV0 
AbRr BaTs CdSq DcQt EfZ3 Fe64 Gh52 HgY$ Ik8v Ji%w Kl9u Lj7x MnVz NmX0 OpWy PoU1 
AcSs BdQr CaRt DbTq Eg54 FhY3 GeZ$ Hf62 Ij9w Jl7v Ki8x Lk%u MoW0 NpUz OmV1 PnXy 
AdTt BcRq CbQs DaSr Eh6$ FgZ2 GfY4 He53 Il%x Jj8u Kk7w Li9v MpX1 NoVy OnU0 PmWz 
AeUu BfWx CgXv DhVw Ea7y Fb91 Gc%z Hd80 ImYq Jn5t Ko6r LpZs MiQ2 NkS$ OjT3 PlR4 
AfVv BeXw ChWu DgUx Eb8z Fa%0 Gd9y Hc71 InZr Jm6s Kp5q LoYt MkR3 NiT4 OlS2 PjQ$ 
AgWw BhUv CeVx DfXu Ec90 Fd7z Ga81 Hb%y Io5s JpYr KmZt Ln6q MjS4 NlQ3 OiR$ PkT2 
AhXx BgVu CfUw DeWv Ed%1 Fc8y Gb70 Ha9z Ip6t JoZq KnYs Lm5r MlT$ NjR2 OkQ4 PiS3 
AiYy Bk51 Cj6z DlZ0 EmQu FnSx GoTv HpRw IaU2 JbW$ KcX3 LdV4 Me7q Nf9t Og%r Ph8s 
AkZz Bi60 Cl5y DjY1 EnRv FmTw GpSu HoQx IbV3 JaX4 KdW2 LcU$ Mf8r Ne%s Oh9q Pg7t 
Aj50 BlYz CiZ1 Dk6y EoSw FpQv GmRx HnTu IcW4 JdU3 KaV$ LbX2 Mg9s Nh7r Oe8t Pf%q 
Al61 BjZy CkY0 Di5z EpTx FoRu GnQw HmSv IdX$ JcV2 KbU4 LaW3 Mh%t Ng8q Of7s Pe9r 
Am72 Bn9$ Co%3 Dp84 EiUq FkWt GjXr HlVs IeQy JfS1 KgTz LhR0 MaYu Nb5x Oc6v PdZw 
An83 Bm%4 Cp92 Do7$ EkVr FiXs GlWq HjUt IfRz JeT0 KhSy LgQ1 MbZv Na6w Od5u PcYx 
Ao94 Bp73 Cm8$ Dn%2 EjWs FlUr GiVt HkXq IgS0 JhQz KeR1 LfTy Mc5w NdYv OaZx Pb6u 
Ap%$ Bo82 Cn74 Dm93 ElXt FjVq GkUs HiWr IhT1 JgRy KfQ0 LeSz Md6x NcZu ObYw Pa5v 
